Time,Search Query
2023/09/06 23:11:16 UTC,librarian
2022/10/17 23:41:52 UTC,museum technician
2023/09/14 18:18:17 UTC,museum technician
2023/08/20 03:56:31 UTC,museum technician
2023/09/01 21:55:51 UTC,museum technician
2023/09/02 03:19:24 UTC,project engineer ii
2023/09/26 23:41:24 UTC,project engineer ii
2023/09/08 22:54:41 UTC,martin wahl
2023/09/26 23:41:24 UTC,project engineer ii
2023/09/15 02:28:44 UTC,project engineer ii
2023/02/25 19:39:02 UTC,museum technician
2023/08/31 08:09:18 UTC,steam project manager
2023/09/16 17:49:45 UTC,museum technician
2023/08/31 08:09:44 UTC,Project Manager
2023/09/26 23:41:24 UTC,project engineer ii
2023/08/20 03:56:30 UTC,librarian
2023/09/26 23:41:24 UTC,data analyst
2022/11/03 20:16:56 UTC,steam outreach coordinator
2023/09/26 23:41:24 UTC,librarian
2023/09/08 22:48:18 UTC,melissa merrick
2023/09/08 17:49:36 UTC,museum technician
2023/08/15 20:10:56 UTC,museum technician
2023/09/20 18:04:41 UTC,museum technician
2023/08/31 08:09:58 UTC,analyst
2023/09/19 22:15:26 UTC,director
2023/09/10 18:03:35 UTC,museum technician
2022/11/17 06:37:06 UTC,School of Complex Adaptive Systems
2022/11/07 04:07:02 UTC,steam outreach coordinator
2023/09/19 18:19:26 UTC,museum technician
2022/10/26 20:34:48 UTC,museum technician
2023/09/08 17:49:36 UTC,museum technician
2023/08/20 03:56:59 UTC,project engineer ii
2023/02/09 23:02:55 UTC,data analyst
2023/08/23 23:31:10 UTC,steam project manager
2023/09/22 17:58:20 UTC,museum technician
2023/09/01 21:55:51 UTC,museum technician
2023/09/13 17:54:14 UTC,museum technician
2023/08/20 21:46:02 UTC,museum technician
2022/10/19 19:55:15 UTC,museum technician
2023/09/02 21:45:35 UTC,museum technician
2023/08/26 05:18:32 UTC,project engineer ii
2023/08/20 21:46:03 UTC,museum technician
2022/11/03 20:17:27 UTC,complex systems science
2023/08/16 20:15:23 UTC,museum technician
2023/02/19 16:33:01 UTC,data analyst
2023/09/06 23:11:22 UTC,analyst
2022/11/27 19:08:34 UTC,museum technician
2023/08/13 19:47:30 UTC,museum technician
2023/09/17 17:42:46 UTC,museum technician
2023/09/19 22:15:50 UTC,project engineer ii
2023/08/27 21:52:08 UTC,museum technician
2022/11/15 20:23:24 UTC,jeremy babendure
2023/09/08 22:47:59 UTC,melissa merrick
2023/08/26 23:57:42 UTC,ai scientist
2023/01/24 19:45:20 UTC,museum technician
2023/08/23 23:31:51 UTC,ai scientist
2023/09/07 18:11:25 UTC,museum technician
2023/08/20 03:56:40 UTC,Project Manager
2023/08/26 21:45:30 UTC,museum technician
2023/08/13 19:47:30 UTC,museum technician
2023/09/26 23:41:24 UTC,director
2023/03/03 13:50:35 UTC,data analyst
2023/09/19 22:15:32 UTC,Software Engineer
2022/11/03 20:17:27 UTC,gis technician
2023/09/08 22:54:45 UTC,martin wahl
2023/08/12 20:00:26 UTC,museum technician
2022/10/15 19:55:46 UTC,museum technician
2023/08/23 23:31:51 UTC,librarian
2023/08/20 03:57:01 UTC,Project Manager
2023/01/25 05:34:13 UTC,data analyst
2023/09/03 20:47:41 UTC,deborah lin
2023/09/11 19:22:20 UTC,museum technician
2023/09/10 18:03:36 UTC,museum technician
2023/09/11 19:22:23 UTC,librarian
2023/08/26 21:45:30 UTC,museum technician
2023/08/17 21:53:07 UTC,museum technician
2023/09/08 23:12:59 UTC,project engineer ii
2022/11/23 20:08:25 UTC,museum technician
2023/09/26 17:56:00 UTC,museum technician
2022/10/25 20:15:01 UTC,museum technician
2023/08/20 21:46:03 UTC,museum technician
2022/11/14 21:05:34 UTC,museum technician
2022/11/07 04:06:56 UTC,anthropologist
2023/09/11 19:22:20 UTC,project engineer ii
2023/08/23 23:31:13 UTC,librarian
2023/09/10 18:03:35 UTC,museum technician
2023/08/31 08:10:03 UTC,ai scientist
2023/08/20 03:58:02 UTC,ai scientist
2023/02/25 15:57:37 UTC,intel
2023/08/09 20:10:16 UTC,museum technician
2023/02/11 19:56:19 UTC,museum technician
2023/09/19 22:15:26 UTC,analyst
2023/02/09 23:02:48 UTC,data analyst
2023/08/31 08:09:46 UTC,librarian
2023/01/25 05:34:48 UTC,intel
2023/02/16 20:44:32 UTC,data analyst
2023/09/01 21:55:51 UTC,museum technician
2023/08/26 05:18:32 UTC,ai scientist
2023/09/26 23:41:24 UTC,data analyst
2023/08/31 08:09:46 UTC,project engineer ii
2023/08/19 03:43:51 UTC,librarian
2023/02/06 19:51:07 UTC,museum technician
2023/09/11 19:22:32 UTC,director
2023/09/15 02:27:34 UTC,project engineer ii
2023/03/03 13:50:41 UTC,data analyst
2023/08/31 08:09:55 UTC,project engineer ii
2023/09/25 17:59:17 UTC,museum technician
2023/09/21 17:58:28 UTC,museum technician
2022/11/15 20:23:23 UTC,"josh hoskinson, m.s., m.a."
2023/09/19 22:15:25 UTC,librarian
2023/09/06 21:55:44 UTC,museum technician
2023/01/26 02:49:44 UTC,intel
2022/11/06 20:33:52 UTC,museum technician
2023/09/03 20:47:37 UTC,deborah lin
2023/09/15 02:29:05 UTC,director
2023/09/26 23:41:24 UTC,ai scientist
2023/03/03 13:48:59 UTC,data analyst
2023/09/06 23:11:16 UTC,ai scientist
2023/09/23 17:58:54 UTC,museum technician
2023/08/21 21:57:43 UTC,museum technician
2023/09/27 03:43:54 UTC,yulissa tru
2023/08/26 23:57:42 UTC,project engineer ii
2023/08/30 21:49:01 UTC,museum technician
2023/08/19 03:43:51 UTC,project engineer ii
2023/09/19 18:19:26 UTC,museum technician
2022/11/03 20:17:27 UTC,museum research
2023/09/16 17:49:46 UTC,museum technician
2023/09/06 23:11:16 UTC,project engineer ii
2023/08/25 21:38:39 UTC,museum technician
2023/08/11 19:58:21 UTC,museum technician
2023/03/03 13:49:00 UTC,steam outreach coordinator
2023/08/10 19:02:41 UTC,Development Officer
2023/08/14 20:06:04 UTC,museum technician
2023/09/27 18:02:19 UTC,museum technician
2023/02/16 20:44:58 UTC,data analyst
2023/08/28 22:20:18 UTC,museum technician
2023/09/10 18:42:50 UTC,project engineer ii
2023/08/20 21:46:02 UTC,museum technician
2023/09/06 23:11:16 UTC,librarian
2023/09/20 18:04:41 UTC,museum technician
2022/11/15 20:23:25 UTC,widemann jeremy
2023/09/18 17:38:22 UTC,museum technician
2023/02/08 04:23:15 UTC,josh abbott
2022/11/09 20:09:22 UTC,museum technician
2023/02/16 20:44:58 UTC,data analyst
2023/08/31 14:51:11 UTC,museum technician
2022/11/02 06:55:01 UTC,"josh hoskinson, m.s., m.a."
2023/09/19 22:15:25 UTC,ai scientist
2023/09/19 22:15:25 UTC,librarian
2023/01/23 20:15:41 UTC,museum technician
2023/08/11 19:58:21 UTC,museum technician
2023/01/25 05:34:48 UTC,intel
2023/02/03 02:40:06 UTC,intel
2023/09/23 17:58:54 UTC,museum technician
2023/08/23 21:39:06 UTC,museum technician
2023/03/03 19:52:46 UTC,museum technician
2022/07/03 08:43:18 UTC,arizona state university college of liberal arts and sciences
2022/07/05 02:42:02 UTC,museum
2022/07/03 08:19:26 UTC,museum
2022/07/03 08:18:26 UTC,o
2022/07/03 08:16:08 UTC,museum
2022/06/29 04:48:47 UTC,anthropology
2022/07/03 08:36:07 UTC,data analyst
2022/07/03 08:36:07 UTC,statistical analyst
2022/07/03 08:18:21 UTC,p
2022/07/03 08:33:34 UTC,statistical analyst
2022/07/03 08:33:34 UTC,museum technician
2022/07/04 20:27:31 UTC,data analyst
2022/07/03 08:15:48 UTC,museum
2022/07/03 08:20:05 UTC,museum
2022/07/05 02:42:02 UTC,museum
2022/07/04 18:31:25 UTC,museum
